0,Are bile duct cells and canals of Hering stained here with an immunohistochemical stain for cytokeratin 7?,yes,/data/mn27889/pvqa/images/train/train_0422.jpg,No
1,Does an infarct in the brain show dissolution of the tissue?,yes,/data/mn27889/pvqa/images/train/train_0986.jpg,yes
2,Does preserved show dissolution of the tissue?,no,/data/mn27889/pvqa/images/train/train_0986.jpg,yes
3,Do the areas of white chalky deposits represent foci of fat necrosis with calcium soap formation at sites of lipid breakdown in the mesentery?,yes,/data/mn27889/pvqa/images/train/train_0929.jpg,No
4,Do the histone subunits represent foci of fat necrosis with calcium soap formation at sites of lipid breakdown in the mesentery?,no,/data/mn27889/pvqa/images/train/train_0929.jpg,No
5,Is the cellular adaptation depicted here hypertrophy?,yes,/data/mn27889/pvqa/images/train/train_0218.jpg,yes
6,Is there an infarct in the brain hypertrophy?,no,/data/mn27889/pvqa/images/train/train_0218.jpg,no
7,Is the irreversible injury ischemic coagulative necrosis?,yes,/data/mn27889/pvqa/images/train/train_0218.jpg,yes
9,"Is reversible injury thicker than 2 cm normal,  1-1.5 cm in the example of myocardial hypertrophy lower left?",no,/data/mn27889/pvqa/images/train/train_0218.jpg,
10,"Does reversibly injured myocardium show functional effects without any gross or light microscopic changes,  or reversible changes such as cellular swelling and fatty change?",yes,/data/mn27889/pvqa/images/train/train_0218.jpg,Yes
11,"Does an infarct in the brain show functional effects without any gross or light microscopic changes,  or reversible changes such as cellular swelling and fatty change (shown here)?",no,/data/mn27889/pvqa/images/train/train_0218.jpg,No
12,Does the transmural light area in the posterolateral left ventricle represent an acute myocardial infarction in the specimen showing necrosis?,yes,/data/mn27889/pvqa/images/train/train_0218.jpg,
13,Does reversible injury represent an acute myocardial infarction in the specimen showing necrosis?,no,/data/mn27889/pvqa/images/train/train_0218.jpg,No
14,"Were all three transverse sections of myocardium stained with triphenyltetra-zolium chloride,  an enzyme substrate that colors viable myocardium magenta?",yes,/data/mn27889/pvqa/images/train/train_0218.jpg,"No, all three transverse sections of myocardium are not present in the image."
15,Is failure to stain due to enzyme loss after cell death?,yes,/data/mn27889/pvqa/images/train/train_0218.jpg,No
16,Is atrophy seen in the brain?,yes,/data/mn27889/pvqa/images/train/train_0026.jpg,no
